id,nombre,descripcion,precio,precioViejo,descuento,imagen,activo
1,Cama de 2 plazas,"Cama cómoda para dormir, y soñar con los angelitos, Hecho con madera china de máxima calidad",15000,20000,20,cama.jpg,true
2,Cortinas para ventana,Cortinas de diferentes colores para decorar. Máxima calidad con telas chinas.,8000,12000,0,cortinas.jpg,true
3,Mesa ratona,"Para comer, apoyar cosas o dejarla vacía. Perfecta para ver y acariciar.",5000,6000,30,mesa.jpg,true
4,Puerta de madera,Puerta para poder pasar de una habitación a otra. Madera de alta calidad.,9000,10000,50,puerta.jpg,true
5,Silla de plástico,"Silla bonita para sentarse con comodidad. Elegante, perfecta para habitaciones modernas.",4000,6000,25,silla.jpg,true
6,Cama de Roble,"Cama moderna de 2 plazas, madera de roble para una mejor calidad, no se olvide de que la calidad china es la mejor ;)",20000,25000,20,camaRoble.jpg,true
7,Cama Flotante,"Cama moderna flotante, para dormir y sentir que estás en el cielo",18000,20000,10,camaFlotante.jpg,true
8,Cama de 1 plaza,"Cama de una plaza, madera berreta, bordeado de metal para que no se desarme sola",12000,15000,0,camaUnaPlaza.jpg,true
9,Placard Blanco,"Placard de MDF blanco, elegante, comodo, alta calidad y bajo precio. Perfecto para los chinos xD.",18000,20000,18,placardBlanco.jpg,true
10,Super Placard,"Placard de Roble, hecho a medida. Usted nos da las medidas, nosotros te lo fabricamos. Terminación elegante y delicada. NOTA: el precio puede variar dependiendo las dimensiones",69000,700000,18,superPlacar.jpg,true
11,Placard de MDF,"Placard de MDF color caca, elegante, cómodo, alta calidad y bajo precio. Perfecto par los chinos xD",20000,15000,0,placar3.jpg,true
12,Placard de MDF con espejos,"Placard de MDF color blanco, con espejos en las puertas, elegante, cómodo, alta calidad y bajo precio. Perfecto para los chinos xD",25000,15500,10,placar4.jpg,true
13,Portatil común,"Portátil con una lamparita dentro. Pantalla de tela, así que es probable que se prenda fuego algún día.",2000,3500,0,lampara1.jpg,true
14,Candelabro viajazo,"Candelabro de vidrio marca MIRAME Y NO ME TOQUES QUE ME ROMPO. Y es verdad, si lo tocas se rompe. Desde MercadoChino sugerimos no tocar el candelabro.",70500,906000,30,lampara2.jpg,true
15,Lámparas de alambre,"Lámparas de techo hechas con alambre, tremenda luz dan.",2000,3500,10,lampara3.jpg,true
16,Alfombra de Sisal,"Alfombra de Sisal muy linda. Cara como Lambo de oro, pero muy linda.",40000,60000,20,alfombra1.jpg,true
17,Alfombra de lana,"A cuadraditos de colores, linda alfombra de lana. Calidad china",2000,3000,40,alfombra3.jpg,true
18,Alfombra de 2 colores,"Alfombra de lana de dos colores muy bonitos, Violeta y Negro. Sin discriminación eh.",3000,4000,20,alfombra2.jpg,true
19,Alfombra común,"Alfombra común para pisar, pero solo descalso.",5000,6000,10,alfombra4.jpg,true
20,Rack común negro,"Rack para TV de color negro, madera MDF. Brilla mucho, sugerimos no pasar mucho Blem porque va a terminar hecho un espejo",5000,6000,10,rack1.jpg,true
21,Rack común marrón,"Rack para TV de color marrón, madera MDF. Es más opaco que un agujero negro, sugerimos pasarle Blem para que brille un poquito.",6000,6500,20,rack2.jpeg,true
22,Rack de Roble,"Rack de buena calidad, madera de roble, color marrón. Muy elegante, pero solo para televisores medianos.",6000,7000,30,rack3.jpg,true
23,Rack de Roble x2,"Rack de buena calidad, madera de roble, color marrón. El diseño es medio antiguo, lo que lo hace más caro.",9000,10000,12,rack4.jpg,true
24,Rack flotante,"Rack hecho de Pallets, flotante, moderno, y aguanta los kilos wachin.",10000,12000,20,rack5.jpg,true
25,Rack raro,"Rack rarito, ondulado, madera MDF, color marrón. Diseño modernos para casas modernas.",8000,9000,20,rack6.jpg,true
26,Puerta blanca de Madera,"Puerta de madera de color blanca, para interior. Perfecta para abrir y pasar por debajo.",4000,5000,10,puerta1.jpg,true
27,Puerta de Madera moderna,"Una puerta de morondanga, moderna, un autentico -no me abras que me desgasto-",3000,3500,50,puerta2.jpg,true
28,Puerta doble corrediza de vidrio,"Puerta gigante, de vidrio, corrediza y doble. De las puertas más caras que tenemos. Muy buena calidad.",21000,24000,23,puerta3.jpg,true
29,Puerta doble corrediza de Madera,"Puerta mediana, de madera, corrediza y doble. De las mas normalitas que tenemos. Buena calidad.",10000,12000,15,puerta4.jpg,true
30,Puerta de madera con ventanillas,"Puerta de madera con ventanitas difuminado-ras, y gruesa. Perfecta para el baño.",6000,7000,20,puerta5.jpg,true
31,Mesa para comer de Madera,"Mesa para comer, maciza, con armazón de hierro. Más fuerte que patada de transformer.",9000,10000,20,mesa1.jpg,true
32,Mesa ratona,"Mesa de roble para el living, perfecta para apoyar cosas",4000,5000,10,mesa2.jpg,true
33,Mesa de roble,"Mesa de roble para el living, de color marrón oscuro. Muy buena calidad.",7000,8000,12,mesa3.jpg,true
34,Mesa de madera trucha,"Mesa con madera trucha, muy minimalista pero no la uses mucho.",4000,5000,10,mesa4.jpg,true
35,Mesa gigante,"Mesa para comedor, gigante. De roble, muy buena calidad. Color marrón.",12000,15000,25,mesa5.jpg,true
36,Silla de morondanga,"Silla de madera forrada de tela, color blanca. Buena calidad y muy cómoda",3000,4000,13,silla1.jpg,true
37,Silla aterciopelada,"Sillas super cómodas, chinas. Madera de roble, con tela aterciopelada.",9000,12000,10,silla2.jpg,true
38,Silla modernas,"Sillas modernas, de acero. Con polifón, de color naranjas. Bastante cómodas. Made in china.",3000,4000,25,silla3.jpg,true
39,Silla de madera,"Sillas comunes de madera, de color blanco, para el comedor. Cómodas.",2000,3000,10,silla5.jpg,true
40,Cortina muy cara,"Cortina de seda, blanco y bordó. Muy buena calidad. Directamente de china.",50000,70000,0,cortina1.png,true
41,Cortina de láminas,"Cortina berreta, pero prolija.",7000,8000,24,cortina2.jpg,true
42,Mesada moderna,"Mesada moderna en color blanco, madera MDF y mármol. Perfecta para cocinar arriba.",41000,52000,10,mesada1.jpg,true
43,Mesada moderna de madera,"Mesada moderna de madera posta, no de mentira como la de MDF. Color marrón claro, o sea, madera. Mesada completa con marmol.",50000,62000,20,mesada2.jpg,true
44,Mesada de madera caquita,"Mesada completa, media rústica, muy bonita y de calidad.",40000,41000,10,mesada3.jpg,true
45,Mesada blanca de roble,"Mesada completa de madera de roble, de color blanco. Muy buena calidad. Made in china, ya sabes pariente.",80000,90000,20,mesada4.jpg,true
46,Mesada de mentira,"Mesada china de plástico. Lema: mírame pero no me patees, que me rompo.",12000,16000,20,mesada5.jpg,true
